序号	产品内编	PI名建议	产品线	产品外观	新商品编码	报关名称	成分	退税税率	监管条件	检验检疫		
	T16-HM		研发二部	黄色透明微粘液	2921290090	固色剂	"二甘醇：111-46-6，9%
甘油：56-81-5，24%
水：7732-18-5，65%"	13%				
	A-90JA		研发一部	无色至浅色透明液	3402420000	非离子有机表面活性剂	"非离子表面活性剂68603-25-8  52%
脂肪醇聚氧烷基醚68439-46-3  23%
水 25%"	13%				
	"CF1151
"		研发一部	黄色透明液	3402420000	非离子有机表面活性剂	"非离子表面活性剂68603-25-8  45%
脂肪醇聚氧烷基醚68439-46-3  50%
水 5%"	13%				
	"CF793A
"		研发一部	无色透明液体	34039100000	阻燃剂	"阻燃剂   14657-64-8  80%
水  20%"	13%				
	CF842A		研发一部	乳白色液体	3403910000	防水剂	"防水剂  65605-70-1 30%
山梨醇  608-66-2  20%
水     50%"	13%				
	"A-93A
"		研发一部	无色透明液	3403910000	纺织助剂缓冲剂	"柠檬酸  77-92-9  10%
葡萄糖酸钠  41859-67-0  30%
水  60%"	13%		R（进口食品卫生监督检验）		
	CF539A		研发一部	深棕色透明液	3507909090	酶制剂	纤维素酶  9012-54-8   50%   水 50%	13%	需要商检			
	T153B		研发二部	黄色透明液	3402900000	固色剂	"酚醛树脂：9003-35-4：27%
分散剂：26545-58-4；10%  
柠檬酸钠：68-04-2：3%
水：7732-18-5，60%"	13%				
	B-73N		研发一部	乳白色液体	3403910000	纺织助剂整理剂	"防水防油整理剂    17527-29-6   50%
水   50%"	13%				
	"B-75G
"		研发一部	乳白色液体	3403910000	纺织助剂整理剂	"交联剂：9009-54-5  60%
水   40%"	13%				
	"CF943B
"		研发一部	乳白不透明液体	3403910000	防水剂	"无氟防水剂   9009-54-5  70%
水  30%"	13%				
	CF849D / CF849H		研发一部	乳白偏黄液体	3403910000	防水剂	"防水剂  65605-70-1  80%
水  20%"					
	CF524C		研发一部	深棕色透明液体	3507909090	酶制剂	"纤维素酶9012-54-8 70%
山梨醇50-70-4  10%
水 20%"	13%				
	F-161F		研发三部	浅黄色透明粘液	3403910000	纺织柔软剂	聚二甲基硅氧烷（硅油）50%  9016-00-6，非离子乳化剂 10% 68213-23-0，水 40% 7732-18-5	13%				
	F-399H-2		研发三部	无色至浅黄色透明液体	3403910000	纺织柔软剂	聚二甲基硅氧烷（硅油）50%  9016-00-6，非离子乳化剂 10% 68213-23-0，水 40% 7732-18-5	13%				
	GY-794		研发三部	无色至浅黄色透明液体	3403910000	纺织柔软剂	聚二甲基硅氧烷（硅油）50%  9016-00-6，非离子乳化剂 10% 68213-23-0，水 40% 7732-18-5	13%				
	K6-F		研发一部	浅黄色至黄色透明液	2942000000	皂洗剂	"聚合物PMA-60 26677-99-6 70%
水 30%"	13%				
	B-27		研发二部	棕黑色液体	3402900000	固色剂	"双酚S：80-09-1；55%
水：7732-18-5；45%"	13%				
	CF388B		研发一部	乳白色液体	3402420000	消泡剂	"消泡剂 27306-78-1；20%
水； 80%"	13%				
	CF450		研发二部	无色透明粘液	2942000000	固色剂	"聚乙烯醇 80%
水 20%"	13%				
	CF188		研发一部	无色透明液	3402420000	非离子有机表面活性剂	"乙二醇二醋酸酯111-55-7 50%
非离子表面活性剂68603-25-8 50%"	13%				
	T3071		研发一部	乳白淡黄色液状	3403910000	防水剂	"防水剂  CAS：65605-70-1  60%
水  40%"	13%				
	CF792		研发一部	透明粘稠液体		阻燃剂	"阻燃剂   14657-64-8  85%
水  15%"	13%				
	LB-162-2		研发三部	浅黄色透明液体	3403910000	纺织柔软剂	聚二甲基硅氧烷（硅油）50%  9016-00-6，非离子乳化剂 10% 68213-23-0，水 40% 7732-18-5	13%				
	A-60JH			无色至浅黄色液体（朦） 		除油剂	"脂肪醇聚氧烷基醚68439-46-3  80%
水：20%"					
	CF641			无色透明粘液	3402420000	渗透剂	"非离子表面活性剂68603-25-8   35%
脂肪醇聚氧烷基醚68439-46-3  36%
水 29%"					
	T73-GA			黄色透明粘液	3402410000	固色剂	"聚羟丙基二甲基氯化铵，40%，CAS：25988-97-0
水，60%，CAS：7732-18-0"					
	F-54			乳白色带蓝光乳液	3402420000	非离子有机表面活性剂	"非离子表面活性剂68603-25-8 8%
脂肪醇聚氧烷基醚68439-46-3  10%
水 72%"					
	CF110B			黄色透明液	3402420000	非离子有机表面活性剂	"聚乙二醇单油酸酯9004-96-0  20%
非离子表面活性剂68603-25-8 80%"					
	CF159D			黄色半透明粘液	3402420000	非离子有机表面活性剂	"聚乙二醇单油酸酯9004-96-0 40%
脂肪醇聚氧烷基醚68439-46-3  60%"					
	T28-EA			黄色透明液体	3402420000	非离子有机表面活性剂	"聚乙二醇单油酸酯9004-96-0  90%
非离子表面活性剂68603-25-8 10%"					
	CF1134         			乳白不透明液体	3403910000	纺织助剂整理剂	"聚氨盐与聚酯醚高分子复配物9016-88-0 20% 
水80%"					
	CF067 			白色粉末	2942000000	螯合分散剂	"葡萄糖酸钠527-07-1 30%
葡萄糖 50-99-7  40%
元明粉7757-82-6  30%"					
	H15-120			深黄色液体	3402420000	修补剂	"
乙二醇二醋酸酯111-55-7  25%
非离子表面活性剂68603-25-8  75%"					
	"K68-AE 
"			米白色不透明粘液	3402900000	 吸湿排汗整理剂	对苯二甲酸与乙二醇和聚乙二醇的聚合物 9016-88-0  15％ 水 85%					
	F-182-9		研发三部	白色不透明液体	3403910000	 纺织助剂整理剂	"聚硅氧烷：22.5％ 
异构十三醇聚氧乙烯醚：4％
水：73.5％"					
	F-118H		研发三部	黄色液体	3402900000	吸湿排汗整理剂	对苯二甲酸与乙二醇和聚乙二醇的聚合物 20% 9016-88-0 水 20%					
	A-109H		研发一部	无色液体	3402420000	非离子有机表面活性剂	"非离子表面活性剂68603-25-8  60%
脂肪醇聚氧烷基醚68439-46-3  20%
水  20%"					
	 F-8R-2			白色不透明粘液	3402900000	吸湿排汗整理剂	柔软吸湿排汗整理剂：30％9016-88-0+水：70％  7732-18-5					
	CF804H			白色带蓝光乳液	3403910000	纺织助剂整理剂	"丙烯酸酯共聚物 40%
水 50%"					
	CF804R			白色带蓝光乳液	3403910000	纺织助剂整理剂	"丙烯酸酯共聚物 40%
水 50%"					
	A-109CA			浅黄色透明液	3402420000	除油剂	"非离子表面活性剂68603-25-8 27%
脂肪醇聚氧烷基醚68439-46-3  23%
水  50%"					
	HM148B			乳白不透明液体	3403910000	纺织助剂整理剂	聚丙烯酸酯95% 25608-33-7  水 5%					
	CF071H			粘稠不透明液体	3403910000	纺织助剂消泡剂	"聚醚环氧硅油9004-73-3 30%
水  70%"					
	"LP-2006
"		研发三部	微黄色粘稠液体	3403910000	纺织柔软剂	聚硅氧烷：95％ 水：10％					
	HM116		研发三部	微黄色粘稠液体	3403910000	纺织柔软剂	聚硅氧烷：100％					
	T73-GA		研发二部	黄色透明粘液	3402410000	固色剂	"二甲基二烯丙基氯化铵：26062-79-3，40%
水：7732-18-0，60%"					
	T153		研发二部	黄色透明粘液	3402900000	固色剂	"十二烷基苯磺酸钠：25155-30-0，40%
分散剂：26545-58-4，5%
水：7732-18-5，55%"					
	GS56-01		研发二部	棕黑色透明液	3402900000	固色剂	"十二烷基苯磺酸钠：25155-30-0，37%
分散剂：26545-58-4，8%
水：7732-18-5，55%"					
	LB-001D		研发三部	淡黄色透明	3403910000	纺织柔软剂	聚硅氧烷63148-62-9：8％+异构十三醇聚氧乙烯醚：3％9043-30-5 水 89%					
	F-50C		研发三部	微黄色液体	3403910000	纺织柔软剂	聚硅氧烷：25％+异构十三醇聚氧乙烯醚：5％9043-30-5+丙三醇：10％+水：60％					
	PW-242B		研发三部	微黄色液体	3403910000	纺织柔软剂	聚硅氧烷：30％+异构十三醇聚氧乙烯醚：2％+水：68％9043-30-5					
	CF097		研发一部	无色液体	3402420000	非离子有机表面活性剂	"非离子表面活性剂68603-25-8  85%
水  15%"					
	GY-895		研发三部	无色至浅黄色透明液体	391000000	有机硅柔软剂	异构十三醇聚氧乙烯醚:6％+聚硅氧烷:  24％+丙三醇：25％+水： 45％					
	GY-897		研发三部	无色至浅黄色透明液体	391000000	有机硅柔软剂	异构十三醇聚氧乙烯醚：6％+聚硅氧烷：26％+丙三醇：20％+水：48％					
	B-74J		研发一部	乳白色液体	3403910000	防水剂	丙烯酸氟烷基醋共聚物 65605-70-1 13% 水 87%					
	F-92D-6		研发三部	白色至微黄色不透明粘液	3403910000	纺织柔软剂	亲水软油68153-35-5：95％+水：5％					
	CF1137		研发五部	黄色液体	2942000000	皂洗剂	乙烯基杂环改性聚合物 29297-55-0 30%  水 70%					
	K187-KC		研发一部	白色粉末	3402420000	非离子有机表面活性剂	"油酸112-80-1 15%
非离子表面活性剂68603-25-8 10%
水 75%"					
	XY-914		研发一部	黄色液体	3403910000	纺织助剂防染剂	"聚乙二醇 25322-68-3  55% 
元明粉7757-82-6       10%
水                   35%"					
	TF-8916LV		研发三部	无色至浅黄色透明液	391000000	有机硅柔软剂	聚硅氧烷 63148-62-9：30％+异构十三醇聚氧乙烯醚9043-30-5：8％+水：62％					
	CF865/CF868		研发一部	黄色透明液体	3402420000	非离子有机表面活性剂	"脂肪醇聚氧烷基醚68439-46-3  95%
水   5%"					
	CF390		研发一部	白色颗粒	340391000	纺织助剂整理剂	"工业盐7647-14-5  50%
元明粉7757-82-6  50%"					
	CF1184		研发六部	乳白色液体	340391000	纺织助剂整理剂	聚丙烯酸脂CAS号：9003-01-4 50%   水50%					
	CF278		研发一部	无色透明液体	3402420000	非离子有机表面活性剂	"非离子表面活性剂68603-25-8  95%
水  5%"					
	CF085		研发一部	白色颗粒	340391000	纺织助剂整理剂	"元明粉7757-82-6  50%
柠檬酸77-92-9  50%"					
	GY690		研发三部	微黄色至黄色透明粘液	391000000	有机硅柔软剂	聚硅氧烷63148-62-9：35％+异构十三醇聚氧乙烯醚9043-30-5：5％+水：60％					
